,price,address,beds,reception,bathrooms,contact_number
220,"£229,000","Bramble Tye, Laindon, Basildon, Essex SS15",2,1,1,
221,"£210,000","Churchill Avenue, Basildon SS14",2,1,1,
222,"£195,000","Warwick Crescent, Basildon SS15",1,1,1,
223,"£255,000","Rectory Road, Pitsea, Basildon SS13",,,,
224,"£275,000","Driftway, Basildon, Essex SS16",4,1,1,
225,"£250,000","Basildon, Essex, United Kingdom SS15",3,1,2,
226,"£335,000","The Slades, Basildon, Essex SS16",3,1,1,
227,"£290,000","Kent View Road, Vange, Basildon SS16",3,1,1,
228,"£500,000","Royston Avenue, Basildon, Essex SS15",5,1,2,
229,"£585,000","Stamford Drive, Basildon, Essex SS15",5,3,3,
230,"£200,000","Walnut Close, Basildon SS15",2,1,1,
231,"£325,000","Basildon, Essex, United Kingdom SS16",3,1,1,
232,"£215,000","Curling Tye, Basildon, Essex SS14",3,2,1,
233,"£325,000","Curling Tye, Basildon, Essex SS14",3,2,1,
234,"£265,000","Nightingale Grove, Basildon SS14",2,1,1,
235,"£400,000","Little Bentley, Basildon SS14",5,3,2,
236,"£230,000","Langdon Hills, Basildon, Essex SS16",2,1,1,
237,"£550,000","Kennedy Avenue, Basildon, Essex SS15",5,2,3,
238,"£587,000","Calvinia Close, Laindon, Basildon SS15",5,3,2,
239,"£545,000","Prescott, Langdon Hills, Basildon, Essex SS16",3,2,1,
240,"£390,000","School Avenue, Laindon, Basildon SS15",3,2,3,
241,"£280,000","Pamplins, Basildon SS15",3,2,1,
242,"£250,000","Lee Chapel North, Basildon, Essex SS15",3,1,1,
243,"£950,000","Lower Dunton Road, Bulphan, Upminster RM14",4,3,3,
244,"£535,000","Shelsley Drive, Langdon Hills, Basildon SS16",3,3,2,
245,"£260,000","Clayburn Side, Basildon, Essex SS14",2,2,1,
246,"£560,000","Parker Drive, Basildon SS16",4,2,2,
247,"£425,000","Gordon Road, Basildon, Essex SS14",,,,
248,"£375,000","Rosecroft Close, Langdon Hills SS16",3,1,1,
249,"£210,000","Shirley Gardens, Burnt Mills, Basildon, Essex SS13",2,1,1,
250,"£650,000","Pound Lane, Bowers Gifford, Basildon SS13",5,3,3,
251,"£280,000","Hollands Walk, Basildon SS16",3,2,1,
252,"£240,000","Marlborough Drive, Langdon Hills, Basildon SS16",2,1,1,
253,"£280,000","Basildon, Essex, United Kingdom SS14",3,1,1,
254,"£175,000","Clay Hill Road, Basildon SS16",2,1,1,
255,"£314,000","Park Terrace, Church Park Road, Pitsea, Basildon, Essex SS13",4,2,1,
256,"£130,000","Widgeons, Pitsea, Basildon, Essex SS13",1,1,1,
257,"£475,000","Park Terrace, Church Park Road, Pitsea, Basildon, Essex SS13",4,2,1,
258,"£250,000","Whitcroft, Langdon Hills, Basildon, Essex SS16",2,1,1,
259,"£240,000","Vermont Close, Basildon, Essex SS13",,,,
260,"£260,000","Warren Drive, Basildon, Essex SS14",2,1,1,
261,"£200,000","Lower Street, Basildon, Essex SS15",,,,
262,"£260,000","Carlisle Way, Pitsea, Basildon, Essex SS13",3,3,1,
